127.0.0.1 - - [12/Oct/2022:22:45:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:45:25 +0900] "GET /HDS_JSP/~day39_JSTL_EL/01_elTest.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [12/Oct/2022:22:45:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:01:39 +0900] "GET /HDS_JSP/~day39_JSTL_EL/01_elTest.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:01:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:18:20 +0900] "GET /HDS_JSP/~day39_JSTL_EL/02_jstlTest_1.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:18:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:19:08 +0900] "GET /HDS_JSP/~day39_JSTL_EL/02_jstlTest_1.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:19:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:32:24 +0900] "GET /HDS_JSP/~day39_JSTL_EL/02_jstlTest_1.jsp HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [12/Oct/2022:23:32:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
