127.0.0.1 - - [08/Nov/2022:17:43:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:00 +0900] "GET /board_mvc/app/board/boardList.jsp HTTP/1.1" 200 3079
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:00 +0900] "GET /board_mvc/images/boardMain.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:00 +0900] "GET /board_mvc/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:00 +0900] "GET /board_mvc/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:00 +0900] "GET /board_mvc/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:00 +0900] "GET /board_mvc/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:00 +0900] "GET /board_mvc/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:00 +0900] "GET /board_mvc/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:00 +0900] "GET /board_mvc/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:04 +0900] "GET /board_mvc/member/MemberLogin.me HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:04 +0900] "GET /board_mvc/images/login01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:04 +0900] "GET /board_mvc/images/login02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:04 +0900] "GET /board_mvc/app/member/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:04 +0900] "GET /board_mvc/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:12 +0900] "POST /board_mvc/member/MemberLoginOk.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:12 +0900] "GET /board_mvc/board/BoardListOk.bo HTTP/1.1" 200 7127
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:31 +0900] "GET /board_mvc/board/BoardViewOk.bo?boardNum=263 HTTP/1.1" 200 7413
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:31 +0900] "GET /board_mvc/images/boardView.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:31 +0900] "GET /board_mvc/board/BoardReplyListOk.bo?boardNum=263 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:40 +0900] "GET /board_mvc/board/BoardListOk.bo HTTP/1.1" 200 7127
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:42 +0900] "GET /board_mvc/board/BoardViewOk.bo?boardNum=253 HTTP/1.1" 200 7128
0:0:0:0:0:0:0:1 - - [08/Nov/2022:17:44:42 +0900] "GET /board_mvc/board/BoardReplyListOk.bo?boardNum=253 HTTP/1.1" 200 4
